impa_code,name,description,category,quantity,unit,min_stock,location
0590556,«seas. so0er7 seas. se-sa,590682 59-43 §90813 59-54,General,0,pcs,0,
0590560,pay ‘oor ‘sees,,General,0,pcs,0,
0590562,sooses sede,"59-33 590695, 59-38",General,0,pcs,0,
0590566,soosss sags saver,59-33 590699 59-38,General,0,pcs,0,
0590568,Jet Chisels,8 Quantity,Hand Tools,0,pcs,0,
0590569,Locking,5 _1P14593 Safety band (Lock band) 1 al tasers Gaverans 7,Safety,0,pcs,0,
0590570,Cust,4 7B08714 Housing sub ass'y 1 5 TP01478 Cylinder lock pin 1,Fasteners,0,pcs,0,
0590572,Locking,Piston (TPO0395) 1,General,0,pcs,0,
0590580,Sears seas «Soar sooriz seas,59-37 §90713 59-52,General,0,pcs,0,
0590581,Sears seas «Soar sooriz seas,"59-33, 590714 59-52",General,0,pcs,0,
0590589,Pneumatic Hacksaws cus,Pneumatiic & Electrical Tools 59-37,Hand Tools,0,pcs,0,
0590590,aoe Sooses seas seas,59-37 590722 59-48,General,0,pcs,0,
0590591,aoe Sooses seas seas,59-35 590723 59-48,General,0,pcs,0,
0590592,aoe Sooses seas seas,59-35 §90724 59-48,General,0,pcs,0,
0590598,Fall Arresters,"Developed for securing the scaler onto a belt or safety cable ensuring the tool is not dropped, damaged, or causes harm to other members of the crew.",Safety,0,pcs,0,
0590600,Locking,5 59 04 80_ Needle supporter @ 3 mm (TQ04554) 1,General,0,pcs,0,
0590607,So0s00 —«sseae sevens sese seorsa,59-38 §90741 59-52,General,0,pcs,0,
0590608,So0s00 —«sseae sevens sese seorsa,59-39 590742 59-53,General,0,pcs,0,
0590623,cove,,General,0,Per Set,0,
0590631,airs sonst,,General,0,pcs,0,
0590638,soorys,59-39 590774 59-44,General,0,pcs,0,
0590639,soorys,59-39 590775 59-44,General,0,pcs,0,
0590640,soorys,59-39 590776 59-44,General,0,pcs,0,
0590641,soorys,59-42 590777 59-44,General,0,pcs,0,
0590648,Soorra Sosa,Soosaz «seas soos soovea,General,0,pcs,0,
0590654,sare deans Fad,Soeste sora 838),General,0,pcs,0,
0590672,Soot seaa. Saueri seas. ge-sa,59-43 590806 59-54,General,0,pcs,0,
0590682,«seas. so0er7 seas. se-sa,59-43 §90813 59-54,General,0,pcs,0,
0590694,sooses sede,59-38,General,0,pcs,0,
0590699,soosss sags saver,59-38,General,0,pcs,0,
0590701,SARTRE,"even in an explosive gas atmosphere. A wide range of models are available, and the listed specifications are for your reference. When ordering, ask i. li f e detail bout ‘thi it f th your supplier for",Hand Tools,0,Per Set,0,
0590702,SARTRE,"even in an explosive gas atmosphere. A wide range of models are available, and the listed specifications are for your reference. When ordering, ask i. li f e detail bout ‘thi it f th your supplier for",Hand Tools,0,Per Set,0,
0590703,SARTRE,"even in an explosive gas atmosphere. A wide range of models are available, and the listed specifications are for your reference. When ordering, ask i. li f e detail bout ‘thi it f th your supplier for",Hand Tools,0,Per Set,0,
0590714,cope,590729 590798,General,0,Per Set,0,
0590715,soosee Mame,[6 mus00v6,General,0,pcs,0,
0590722,aoe Sooses seas seas,59-48,General,0,pcs,0,
0590723,aoe Sooses seas seas,59-48,General,0,pcs,0,
0590729,cope,590798,General,0,Per Set,0,
0590742,So0s00 —«sseae sevens sese seorsa,59-53,General,0,pcs,0,
0590764,«sean seosia soores —»sseaa_,«sean seosia soores —»sseaa_,General,0,pcs,0,
0590766,Nozzle,: Cycle Time mins,General,0,Per Set,0,
0590768,seores,59-44,General,0,pcs,0,
0590774,soorys,59-44,General,0,pcs,0,
0590775,soorys,59-44,General,0,pcs,0,
0590776,soorys,59-44,General,0,pcs,0,
0590777,soorys,59-44,General,0,pcs,0,
0590786,Soorra Sosa,Soosaz «seas soos soovea,General,0,pcs,0,
0590796,cove,,General,0,Per Set,0,
0590798,cope,,General,0,Per Set,0,
0590799,Derensons,‘Menufechwer DEN-JET Manne,General,0,Per Set,0,
0590800,Derensons,‘Menufechwer DEN-JET Manne,General,0,Per Set,0,
0590806,Soot seaa. Saueri seas. ge-sa,59-54,General,0,pcs,0,
0590832,gaa Soa sotiss,59-55 590977 59-40 591158 59-62,General,0,pcs,0,
0590836,irae ‘sous sens,,General,0,pcs,0,
0590844,High Pressure Water Blasters,"Applications: General cleaning, washing of salt spray, removal of lose paint & rust. Cleaning in holds & transfer pipes. Cleaning scaffolding material. Removal of lime scale deposits and marine growth",Paints,0,Per Set,0,
0590850,Derensons,‘Menufechwer DEN-JET Manne,General,0,Per Set,0,
0590852,seoess suttr,seoeds «50-05 sooser seat. sottrs «50-83 sooeer 50:55. So0sen seat sottre 80-83 S088 soogss saa sorry © senses sas sero: sasres sorire 063 soiocz series sotto 5963.60,General,0,pcs,0,
0590853,seoess suttr,seoeds «50-05 sooser seat. sottrs «50-83 sooeer 50:55. So0sen seat sottre 80-83 S088 soogss saa sorry © senses sas sero: sasres sorire 063 soiocz series sotto 5963.60,General,0,pcs,0,
0590858,High Pressure Water Blasters,"Applications: General cleaning, washing of salt spray, removal of lose paint & rust. Cleaning in holds & transfer pipes. Cleaning scaffolding material. Removal of lime scale deposits and marine growth",Paints,0,Per Set,0,
0590859,High Pressure Water Blasters,"Applications: General cleaning, washing of salt spray, removal of lose paint & rust. Cleaning in holds & transfer pipes. Cleaning scaffolding material. Removal of lime scale deposits and marine growth",Paints,0,Per Set,0,
0590863,soosss see soizn2,"59-50 591014 59-57, 64 591207 59-13",General,0,pcs,0,
0590864,soosss see soizn2,"59-50 591015 59-57, 64 591208 59-13",General,0,pcs,0,
0590865,soosss see soizn2,"59-50 591016 59-57, 64 591209 59-13",General,0,pcs,0,
0590874,‘Weight,Pneumatiic & Electrical Tools 59-51,General,0,Per Set,0,
0590875,Proomwe,a anol,General,0,Per Set,0,
0590876,Proomwe,a anol,General,0,Per Set,0,
0590877,Proomwe,a anol,General,0,Per Set,0,
0590880,Proomwe,a anol,General,0,Per Set,0,
0590882,Derensons,‘Menufechwer DEN-JET Manne,General,0,Per Set,0,
0590890,sas setzss,59-52 591044 59-59 §91236 59-15,General,0,pcs,0,
0590891,sas setzss,"59-55, 591045, 59-59 591237 59-15",General,0,pcs,0,
0590914,inten,[590918,General,0,Per Set,0,
0590916,Sma bias,615589 Section 67,General,0,pcs,0,
0590917,Sma bias,615599 673805,General,0,pcs,0,
0590920,‘anes steer eraser,615614 673808,General,0,pcs,0,
0590921,soosto Soto,"soomrr «S886 sotore se.e0es setzer 5320 —sa-sr sa.e0es setzss 88.20, soos «sus so.e0.6s setzso 88.20 sas setzeo 58.20",General,0,pcs,0,
0590922,soosto Soto,"soomrr «S886 sotore se.e0es setzer 5320 —sa-sr sa.e0es setzss 88.20, soos «sus so.e0.6s setzso 88.20 sas setzeo 58.20",General,0,pcs,0,
0590925,soosto Soto,"soomrr «S886 sotore se.e0es setzer 5320 —sa-sr sa.e0es setzss 88.20, soos «sus so.e0.6s setzso 88.20 sas setzeo 58.20",General,0,pcs,0,
0590926,MODEL,,General,0,Per Set,0,
0590936,soosto Soto,S40 sorta © se-00. seizes ©5820,General,0,pcs,0,
0590959,suossa Sorist suet,suosss S040 sores © Se-18,General,0,pcs,0,
0590968,suossa Sorist suet,© sea. soltay sates sata seoser Sea. sorraz suizot 5520 S040 surtas seer seizes 880 sao seizes 020 S040. sortas seizes $520 sa. Soitas seep seizes 820,General,0,pcs,0,
0590973,0590973,,General,0,pcs,0,
